Criteria,MWQI ,Weather,Sea conditions,Tides,Depth,Sampling depth,Transparency,Color,Temperature,pH,EC,Salinity,DO,SS,Phosphates - phosphorus,Total ammonia,Nitrate - nitrogen,Total coliforms,Fecal coliform bacteria ,Enterococci bacteria,Au,Zn
ดี,87,แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,1,0.5,1,เขียวใส,26.9,8.15,48.1,30.1,6.8,4.9,4.27,100,8.14,33,17,16,0.85,3.57
ดี,90,แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,1,0.5,1,เขียวใส,27,8.14,48.2,30,6.97,2.6,2.36,61,3.2,< 1.8,1,< 1,< 0.500,5.12
ดี,88,แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,1,0.5,1,เขียวใส,26.9,8.15,48.1,30.1,6.8,2.6,2.65,97,1.7,2,< 1,1,< 0.500,2.78
ดี,88, แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,1.2,0.5,1,เขียว,26.8,8.08,48.8,30.6,7.43,1.5,2.36,113,4.8,4.5,1,2,< 0.500,4.37
ดี,84,  แดดไม่จัด ไม่มีฝน  ไม่มีเมฆ,คลื่นน้อย,น้ำลง,5,"1, 4",2.5,เขียวเข้มใส,26.75,8.1,47.7,29.9,6.29,11.1,3.39,114,6.9,2,4,6,0.7,6.1
ดี,85,แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,1.2,0.5,1,เขียว,28.1,7.6,49.9,30.5,7.03,15.1,3.83,164,4.4,2,2,4,< 0.500,3.43
ดี,86,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,2.4,1,1.5,เขียวเข้มใส,27.6,7.8,48.8,30.3,6.43,9.6,2.06,105,3.7,< 1.8,< 1,3,< 0.500,2.65
ดี,85,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,5.2,"1, 4",1,เขียว,26.45,7.52,47.02,29.6,6.49,6.6,5.15,106,4.7,4.5,1,1,< 0.500,1.14
ดี,84,แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,1.1,0.5,0.8,น้ำตาลขุ่น,26.5,7.76,48.2,30.4,6.7,30.2,6.33,109,13,17,15,23,0.8,4.98
ดี,83,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,1.5,1,1,เขียว,30.2,8.26,50.3,29.1,5.85,16.6,5.6,102,1.1,79,41,14,< 0.500,3.76
ดี,85,แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,6,"1,3,5",4,เขียวเข้มใส,28.67,8.04,50,30.3,6.64,28,< 1.00,115,5.6,1.8,1,1,< 0.500,6.76
ดี,89,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นปานกลาง,น้ำลง,6,"1,3,5",3.5,เขียวเข้มใส,28.57,7.97,49.73,30.1,6.76,2.8,< 1.00,84,2.2,< 1.8,< 1,< 1,< 0.500,7.16
ดี,86,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นน้อย,น้ำลง,8.8,"1,4,7",1,น้ำตาลขุ่น,27.9,8.03,48.97,30,6.51,5.2,2.5,127,5,2,< 1,3,< 0.500,7.16
ดี,87, แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,1,0.5,1,เขียวใส,29.6,7.88,51,30.3,6.52,2.9,,135,2.7,< 1.8,< 1,< 1,< 0.500,2.8
ดี,86,แดดจัด ไม่มีฝน ไม่มีเมฆ,ทะเลเรียบ,น้ำลง,3.9,"1,3",3.9,เขียวเข้มใส,28.7,8.06,50.25,30.4,6.83,11.8,3.09,146,3.5,< 1.8,< 1,< 1,< 0.500,3.28
ดี,83,แดดจัด ไม่มีฝน ไม่มีเมฆ,คลื่นปานกลาง,น้ำลง,5.3,"1,4",2,เขียว,28.7,7.93,49.9,30.2,6.05,6.6,16.6,166,6.4,3.7,38,118,< 0.500,2.75
ดี,82,แดดไม่จัด ไม่มีฝน  เมฆบางส่วน,คลื่นน้อย,น้ำลง,1,0.5,0.5,เขียวอ่อน,29.4,7.82,50.1,29.9,6.55,2.9,4.12,260,8.1,3.6,5,18,< 0.500,5.86
